Noisy_sentence,Actual_sentence,Corrected_sentence,Top_1_accuracy,Top_3_accuracy
इसकी ऊँचऌाई केवल 1982 मीटर हव ।,इसकी ऊँचाई केवल 1982 मीटर है ।,इसकी ऊँचाई केवल 1982 मीटर हवा ।,50.0,50.0
"यहाँ गौरी मॅंदिर है, जो कळुछ छोटा है और प्राचीन नहीं हपै ।","यहाँ गौरी मंदिर है, जो कुछ छोटा है और प्राचीन नहीं है ।","यहाँ गौरी मंदिर है, जो कुछ छोटा है और प्राचीन नहीं है ।",100.0,100.0
मंदिर में गौरी और पार्वती की धातु ॣफकी मूर्तियाँ हैं ।,मंदिर में गौरी और पार्वती की धातु की मूर्तियाँ हैं ।,मंदिर में गौरी और पार्वती की धातु की मूर्तियाँ हैं ।,100.0,100.0
मंदिर केय गर्भगृह मेंई नारायण भगवान की सुंदर मूळ्ति है ।,मंदिर के गर्भगृह में नारायण भगवान की सुंदर मूर्ति है ।,मंदिर केयर गर्भगृह में नारायण भगवान की सुंदर मूर्ति है ।,66.66666666666666,100.0
यहाँ अनेक कृुंड भी हैं ।,यहाँ अनेक कुंड भी हैं ।,यहाँ अनेक कुंड भी हैं ।,100.0,100.0
"इनके नाम ब्रहड्म कुंड, रुद्र कुंसड और ॎसरस्वती कुंड हैं ।","इनके नाम ब्रह्म कुंड, रुद्र कुंड और सरस्वती कुंड हैं ।","इनके नाम ब्रह्मा कुंड, रुद्र कुंड और सरस्वती कुंड हैं ।",66.66666666666666,66.66666666666666
इस मंदिर मेंम अखंड धूनी जलती रहतॡ है ।,इस मंदिर में अखंड धूनी जलती रहती है ।,इस मंदिर में अखंड धूनी जलती रहते है ।,50.0,100.0
ेारतीय सेना करती है व्यवस्था ।,भारतीय सेना करती है व्यवस्था ।,भारतीय सेना करती है व्यवस्था ।,100.0,100.0
6 माह तक दीपक जलॅतजा रहता है ।,6 माह तक दीपक जलता रहता है ।,6 माह तक दीपक जाता रहता है ।,0.0,0.0
भोज ॓ा खर्च भारतीय ऎसेना उठाती है ।,भोज का खर्च भारतीय सेना उठाती है ।,भोज का खर्च भारतीय सेना उठाती है ।,100.0,100.0
प्रायः 10 कििी पैदल यात्रा ऺरनी पड़ती है ।,प्रायः 10 किमी पैदल यात्रा करनी पड़ती है ।,प्रायः 10 किसी पैदल यात्रा करनी पड़ती है ।,50.0,100.0
तब उत्तराखंड कऍ यात्रा आरंभ होती है ु,तब उत्तराखंड की यात्रा आरंभ होती है ।,तब उत्तराखंड के यात्रा आरंभ होती है व,0.0,50.0
माँ महाशक्दि के बाझरे में अनेक कथाएँ प्रच॑ित हैं ।,माँ महाशक्ति के बारे में अनेक कथाएँ प्रचलित हैं ।,माँ महाशक्ति के बारे में अनेक कथाएँ प्रचलित हैं ।,100.0,100.0
इसॗ समय माता सती के शरीर के अंश कआहीं - कहॖं धरती पह गिरे ।,इस समय माता सती के शरीर के अंश कहीं - कहीं धरती पर गिरे ।,इस समय माता सती के शरीर के अंश कहीं - कहीं धरती पहल गिरे ।,75.0,75.0
ौन अंशों नेझ पत्थर का रूप धारण किॣा था ।,इन अंशों ने पत्थर का रूप धारण किया था ।,नौ अंशों ने पत्थर का रूप धारण किया था ।,66.66666666666666,66.66666666666666
इसी कीद पूजा - अर्चना की जाती है ।ब,इसी की पूजा - अर्चना की जाती है ।,इसी की पूजा - अर्चना की जाती है ।,100.0,100.0
भक्त इसडे जंगल में लने गया और माँ काली ऍी पूजाख करने लगा ।,भक्त इसे जंगल में ले गया और माँ काली की पूजा करने लगा ।,भक्त इसके जंगल में लेने गया और माँ काली की पूजा करने लगा ।,50.0,75.0
ऐसध साल में एक बार किया जाता हलै ।,ऐसा साल में एक बार किया जाता है ।,ऐसे साल में एक बार किया जाता है ।,50.0,100.0
इस ॣदिन अनगिनत भक्तजन आते हैं ए।,इस दिन अनगिनत भक्तजन आते हैं ।,इस दिन अनगिनत भक्तजन आते हैं ।,100.0,100.0
पूजा दा सवय 6.00 बबजे से लेकर रात कते 8.30 तक रहता है ।,पूजा का समय 6.00 बजे से लेकर रात के 8.30 तक रहता है ।,पूजा दा सवा 6.00 बजे से लेकर रात करते 8.30 तक रहता है ।,33.33333333333333,66.66666666666666
काली म॔ँ की पजूा श्रद्धा तथा आस्था के साथ की जाती है ऍ।,काली माँ की पूजा श्रद्धा तथा आस्था के साथ की जाती है ।,काली माँ की पूजा श्रद्धा तथा आस्था के साथ की जाती है ।,100.0,100.0
रात्रि के ड12.00 बजे शक्तिरूपी देवी की आऴरऒती की जाती है ।,रात्रि के 12.00 बजे शक्तिरूपी देवी की आरती की जाती है ।,रात्रि के 200 बजे शक्तिरूपी देवी की आरती की जाती है ।,50.0,50.0
देवी उनकी मनोकामना पॏर्ण करईती हैं ।,देवी उनकी मनोकामना पूर्ण करती हैं ।,देवी उनकी मनोकामना पूर्ण करती हैं ।,100.0,100.0
यह मंदिर बीबीडी बाे से 20 किलोमीटर दूर है ।,यह मंदिर बीबीडी बाग से 20 किलोमीटर दूर है ।,यह मंदिर बीबीडी बारे से 20 किलोमीटर दूर है ।,0.0,0.0
दक्षिणेश्वर मंदिर ईा निर्माण सन 1847 मॊें प्रारंभ हुआ था ब,दक्षिणेश्वर मंदिर का निर्माण सन 1847 में प्रारंभ हुआ था ।,दक्षिणेश्वर मंदिर का निर्माण सन 1847 में प्रारंभ हुआ था जब,66.66666666666666,66.66666666666666
सन 1855 में मंदिर काॡ निर्माण पूरा हुआ ।भ,सन 1855 में मंदिर का निर्माण पूरा हुआ ।,सन 1855 में मंदिर का निर्माण पूरा हुआ ।,100.0,100.0
यह मंदिर 25 एकड़ क्षेत्र में स्थित हवै ।ठ,यह मंदिर 25 एकड़ क्षेत्र में स्थित है ।,यह मंदिर 25 एकड़ क्षेत्र में स्थित है ।,100.0,100.0
दक्षिणेश्वर मंदिर देवी माँ ॖकाली के शलिए ही बनाया गया महै ।,दक्षिणेश्वर मंदिर देवी माँ काली के लिए ही बनाया गया है ।,दक्षिणेश्वर मंदिर देवी माँ अकाली के लिए ही बनाया गया है ।,66.66666666666666,100.0
दक्षिणेश्वर माँ काली ॄका मुख्य ऐंदिर है ।,दक्षिणेश्वर माँ काली का मुख्य मंदिर है ।,दक्षिणेश्वर माँ काली का मुख्य मंदिर है ।,100.0,100.0
धइस मंदिर में 12 गुंबऋद हैं ।,इस मंदिर में 12 गुंबद हैं ।,इस मंदिर में 12 गुंबद हैं ।,100.0,100.0
यह मंदिर हरढ - भर॓े - मैदान पर स्थित है ऒ।,यह मंदिर हरे - भरे - मैदान पर स्थित है ।,यह मंदिर हर - भरे - मैदान पर स्थित है ।,66.66666666666666,100.0
इसमें सीढ़ियॐों के माध्यम से प्रवेश कर सघते हैं ।़,इसमें सीढ़ियों के माध्यम से प्रवेश कर सकते हैं ।,इसमें पीढ़ियों के माध्यम से प्रवेश कर सकते हैं ।,66.66666666666666,66.66666666666666
दक्षिण ळी ओर स्थित यह मंदिर डतीन मंजिला है ।प,दक्षिण की ओर स्थित यह मंदिर तीन मंजिला है ।,दक्षिण की ओर स्थित यह मंदिर तीन मंजिला है ।,100.0,100.0
आपर ऑी दो मंजिलों पर नौी गुंबद समान रूप से फैले हुए हैं ौ।,ऊपर की दो मंजिलों पर नौ गुंबद समान रूप से फैले हुए हैं ।,पर की दो मंजिलों पर नदी गुंबद समान रूप से फैले हुए हैं ।,50.0,100.0
गुंबदों की ळछत पर सुनऋ्दर आकृतियाँ बनाई ाई हैं ।,गुंबदों की छत पर सुन्दर आकृतियाँ बनाई गई हैं ।,गुंबदों की छत पर सुंदर आकृतियाँ बनाई पाई हैं ।,33.33333333333333,33.33333333333333
इस मंदिर के सामने नट मंदिर स्थित खहै ।ष,इस मंदिर के सामने नट मंदिर स्थित है ।,इस मंदिर के सामने नट मंदिर स्थित है ।,100.0,100.0
दक्षिणेश्वर डाँ काली का मंदिर विश्शव में सबसे प्॒सिद्ध है ।,दक्षिणेश्वर माँ काली का मंदिर विश्व में सबसे प्रसिद्ध है ।,दक्षिणेश्वर डाल काली का मंदिर विश्व में सबसे प्रसिद्ध है ।,66.66666666666666,66.66666666666666
मंदिर की उत्तर दिशा में राधाकृषऍ्ण ःका दापान स्थित है ।,मंदिर की उत्तर दिशा में राधाकृष्ण का दालान स्थित है ।,मंदिर की उत्तर दिशा में राधाकृष्ण का जापान स्थित है ।,66.66666666666666,66.66666666666666
पर्ॣटक साल में ॅर समय यहाँ जपर भ्रमण करने आ सकते हैं ।,पर्यटक साल में हर समय यहाँ पर भ्रमण करने आ सकते हैं ।,पर्यटक साल में और समय यहाँ पर भ्रमण करने आ सकते हैं ।,66.66666666666666,100.0
कैजसे जाएँ वहाँ -,कैसे जाएँ वहाँ -,कैसे जाएँ वहाँ -,100.0,100.0
हर प्रमुख शहरों से कोलकाता पजाया जड सकता है ।ॡ,हर प्रमुख शहरों से कोलकाता जाया जा सकता है ।,हर प्रमुख शहरों से कोलकाता पाया जेड सकता है ।,33.33333333333333,100.0
कोलकाता में मीटर से टैकऊसी चलती हछै ।,कोलकाता में मीटर से टैक्सी चलती है ।,कोलकाता में मीटर से टैक्सी चलती है ।,100.0,100.0
"बस, मेटॕरो रेल, साइकल रऊक्शा तथा ऑटो रिक्शा चलते ळहैं ।","बस, मेट्रो रेल, साइकल रिक्शा तथा ऑटो रिक्शा चलते हैं ।","बस, मेट्रो रेल, साइकल रिक्शा तथा ऑटो रिक्शा चलते हैं ।",100.0,100.0
इस हमले मगं तलाबानी के सुरक्षा गार्ड भी घायल हो गएञ ।ए,इस हमले में तलाबानी के सुरक्षा गार्ड भी घायल हो गए ।,इस हमले में तलाबानी के सुरक्षा गार्ड भी घायल हो गए ।,100.0,100.0
सिंह १९८० - ८२ के दौरान पाऎिस्तान में भारत के धराजदूत थे ।,सिंह १९८० - ८२ के दौरान पाकिस्तान में भारत के राजदूत थे ।,सिंह १९८० - ८२ के दौरान पाकिस्तान में भारत के राजदूत थे ।,100.0,100.0
उनके साथ ःें इस शोध परियोजऐा पऒर बात - चीत करेंगे ।,उनके साथ में इस शोध परियोजना पर बात - चीत करेंगे ।,उनके साथ में इस शोध परियोजना पर बात - चीत करेंगे ।,100.0,100.0
पटेल ने हउजकी भरपूर मदद करने का वादा कियाै है ।,पटेल ने उनकी भरपूर मदद करने का वादा किया है ।,पटेल ने उनकी भरपूर मदद करने का वादा किया है ।,100.0,100.0
इसमें भाजपछ की ओर से विजय कुमार मल्होत्रा मौजूद ॊे ।उ,इसमें भाजपा की ओर से विजय कुमार मल्होत्रा मौजूद थे ।,इसमें भाजपा की ओर से विजय कुमार मल्होत्रा मौजूद के ।,66.66666666666666,66.66666666666666
नेताओंई कीऩ बयानबाजी के कारण पूरा घटनाक्रम दिलचस्प रहा हइ ।,नेताओं की बयानबाजी के कारण पूरा घटनाक्रम दिलचस्प रहा है ।,नेताओं की बयानबाजी के कारण पूरा घटनाक्रम दिलचस्प रहा है ।,100.0,100.0
कहते हैं मघहब्बत और जंगृ में सब कुछ जायज हछै ।,कहते हैं मोहब्बत और जंग में सब कुछ जायज है ।,कहते हैं मुहब्बत और जंगल में सब कुछ जायज है ।,33.33333333333333,100.0
"बेशक़, माँ कोकिलाबेन के लिएउ मुकेश औऺर अनिल बखाबर हैं ।","बेशक़, माँ कोकिलाबेन के लिए मुकेश और अनिल बराबर हैं ।","बेशक़, माँ कोकिलाबेन के लिए मुकेश और अनिल बराबर हैं ।",100.0,100.0
़ह गोवा में हैं ।,वह गोवा में हैं ।,यह गोवा में हैं ।,0.0,100.0
वहाज उनकी बौेटी की शादी है ।,वहाँ उनकी बेटी की शादी है ।,महाज उनकी बेटी की शादी है ।,50.0,50.0
"लेकिन, उन्हें आईपीसीएल बोऱ्ड सॏ आजृ हटा दिया गया ।","लेकिन, उन्हें आईपीसीएल बोर्ड से आज हटा दिया गया ।","लेकिन, उन्हें आईपीसीएल बोर्ड से आज हटा दिया गया ।",100.0,100.0
इसके बावजूद मुकेश ोेमऍ का रुख ठंडा रहा ।,इसके बावजूद मुकेश खेमे का रुख ठंडा रहा ।,इसके बावजूद मुकेश खेमा का रुख ठंडा रहा ।,0.0,0.0
आखिधरकार अनिल ने आईपीसीएल बोर्ड से इस्तीफा दे दॗया उ।,आखिरकार अनिल ने आईपीसीएल बोर्ड से इस्तीफा दे दिया ।,आखिरकार अनिल ने आईपीसीएल बोर्ड से इस्तीफा दे दिया ।,100.0,100.0
"बहरहाल, इस जतग में एभक तरह ॒से अनिल विजयी साबित हुए ।","बहरहाल, इस जंग में एक तरह से अनिल विजयी साबित हुए ।","बहरहाल, इस जता में एक तरह से अनिल विजयी साबित हुए ।",66.66666666666666,66.66666666666666
मृतकों मूं एक महिलाॖ भी शामिल है ।,मृतकों में एक महिला भी शामिल है ।,मृतकों मूंग एक महिला भी शामिल है ।,50.0,100.0
लेकिन हताहतों कऎी संख्या के बारे मेॉं कुछ नहीं बताया क।,लेकिन हताहतों की संख्या के बारे में कुछ नहीं बताया ।,लेकिन हताहतों की संख्या के बारे में कुछ नहीं बताया ।,100.0,100.0
जरऌावी के सिर पऎ ढाई करोड़ अॉलर का इनाम घोषित है ।,जरकावी के सिर पर ढाई करोड़ डॉलर का इनाम घोषित है ।,जरकावी के सिर पर ढाई करोड़ डॉलर का इनाम घोषित है ।,100.0,100.0
"इसमें से १४,६३६ मेगावाट बिजली ग्रिड कऽ दी जा रॕी है ख।","इसमें से १४,६३६ मेगावाट बिजली ग्रिड को दी जा रही है ।","इसमें से १४,६३६ मेगावाट बिजली ग्रिड के दी जा रही है ।",66.66666666666666,100.0
ग्रिड को मिली बिजली सम लोगों तक पहुँचतॗ ऩै ।,ग्रिड को मिली बिजली आम लोगों तक पहुँचती है ।,ग्रिड को मिली बिजली समय लोगों तक पहुँचते है ।,33.33333333333333,66.66666666666666
जो बिॣली बचेगी वह ग्रिड को मिलॅ जाएगी ।,जो बिजली बचेगी वह ग्रिड को मिल जाएगी ।,जो बिजली बचेगी वह ग्रिड को मिल जाएगी ।,100.0,100.0
देश अभी ब़िजली की १३ फीसदी कमी सेय जूझ रहा है इ।,देश अभी बिजली की १३ फीसदी कमी से जूझ रहा है ।,देश अभी बिजली की १३ फीसदी कमी से जूझ रहा है ।,100.0,100.0
ताकऔि उसी स्थान पर मंदिर नमर्माईण का रास्ता निकल सके ।,ताकि उसी स्थान पर मंदिर निर्माण का रास्ता निकल सके ।,ताकि उसी स्थान पर मंदिर निर्माण का रास्ता निकल सके ।,100.0,100.0
असम में ९० लाख से ज्यादा लोग बाल़ से पन्रभावळित हुए हैं ।,असम में ९० लाख से ज्यादा लोग बाढ़ से प्रभावित हुए हैं ।,असम में ९० लाख से ज्यादा लोग बाल से प्रभावित हुए हैं ।,50.0,100.0
राज्य के २७ मेफ से २६ जिऑे बथाढ़ से प्रभावित हैं ।,राज्य के २७ में से २६ जिले बाढ़ से प्रभावित हैं ।,राज्य के २७ मेल से २६ जिले बाढ़ से प्रभावित हैं ।,66.66666666666666,66.66666666666666
रा॑ज्य भर में रेल व सड़क यातायात अस्त - व्नयस्त है ।,राज्य भर में रेल व सड़क यातायात अस्त - व्यस्त है ।,राज्य भर में रेल व सड़क यातायात अस्त - व्यस्त है ।,100.0,100.0
उन्होंने कहा कि लोगों के लिअए विकास का धसला अधिक जरूरी है ख,उन्होंने कहा कि लोगों के लिए विकास का मसला अधिक जरूरी है ।,उन्होंने कहा कि लोगों के लिए विकास का मसला अधिक जरूरी है रख,66.66666666666666,66.66666666666666
संघ व भाजपा ़क ही ऌसिक्कऴ के दो पहलू हैं ।,संघ व भाजपा एक ही सिक्के के दो पहलू हैं ।,संघ व भाजपा एक ही सिक्का के दो पहलू हैं ।,50.0,50.0
इन बातों ़का कोई मतलऴ नहीं है ।,इन बातों का कोई मतलब नहीं है ।,इन बातों का कोई मतलब नहीं है ।,100.0,100.0
अब मंदिोर और मस्जिद के मुद़्ोों को लोग तवज्जो नहीं देते ।,अब मंदिर और मस्जिद के मुद्दों को लोग तवज्जो नहीं देते ।,अब मंदिर और मस्जिद के मुद्दों को लोग तवज्जो नहीं देते ।,100.0,100.0
उनका इसमऔं कोई योगदान नहीं है त,उनका इसमें कोई योगदान नहीं है ।,उनका इसमें कोई योगदान नहीं है तो,50.0,50.0
सचिव ने कहा रि इससे देश की बदएनामी होती है॑ ।,सचिव ने कहा कि इससे देश की बदनामी होती है ।,सचिव ने कहा रवि इससे देश की बेनामी होती है ।,33.33333333333333,33.33333333333333
नेशनलथ चाइल्ड एक्शन प्लधन कऋ मंतव्य भी यही है ।,नेशनल चाइल्ड एक्शन प्लान का मंतव्य भी यही है ।,नेशनल चाइल्ड एक्शन प्लॉन के मंतव्य भी यही है ।,33.33333333333333,66.66666666666666
वे अब कल सुबह इस पर फैसला देंउगे ।,वह अब कल सुबह इस पर फैसला देंगे ।,वे अब कल सुबह इस पर फैसला देंगे ।,100.0,100.0
पर शंकराचार्य नऎे इससेच इंकार किया ।,पर शंकराचार्य ने इससे इंकार किया ।,पर शंकराचार्य ने इससे इंकार किया ।,100.0,100.0
इसलिए उन्हें हाईकमान के जवाै का इंतजछार है ।,इसलिए उन्हें हाईकमान के जवाब का इंतजार है ।,इसलिए उन्हें हाईकमान के जवाब का इंतजार है ।,100.0,100.0
शसके साथ ही हर राज्यद मेषं कम से कम एक सेंटर होगा ।,इसके साथ ही हर राज्य में कम से कम एक सेंटर होगा ।,इसके साथ ही हर राज्य में कम से कम एक सेंटर होगा ।,100.0,100.0
इस माह के अंत घक ही देश में 36 एआरटी सेंटर होऄगे ऌ।,इस माह के अंत तक ही देश में 36 एआरटी सेंटर होंगे ।,इस माह के अंत घटक ही देश में 36 एआरटी सेंटर होंगे ।,66.66666666666666,100.0
६१ वर्षीय बिस्वास की हालत गंभीऎ बनीे हुई पै ।,६१ वर्षीय बिस्वास की हालत गंभीर बनी हुई है ।,६१ वर्षीय बिस्वास की हालत गंभीर बनते हुई पैठ ।,33.33333333333333,33.33333333333333
ऑलेकिन शौम को अपने आजास पर अचानक उनकी हालत बिगड़ गई ।,लेकिन शाम को अपने आवास पर अचानक उनकी हालत बिगड़ गई ।,लेकिन शाम को अपने आवास पर अचानक उनकी हालत बिगड़ गई ।,100.0,100.0
जऩगीर कौर इस फैोलळ को हाईकोर्ट में चुनौती देंगी ।,जागीर कौर इस फैसले को हाईकोर्ट में चुनौती देंगी ।,जागीर कौर इस फैले को हाईकोर्ट में चुनौती देंगी ।,50.0,50.0
रोजगाहर पा जाने कीॎ कुछ विश्वसनीय उम्मीद इन्हीं मऴें है ।,रोजगार पा जाने की कुछ विश्वसनीय उम्मीद इन्हीं में है ।,रोजगार पा जाने की कुछ विश्वसनीय उम्मीद इन्हीं में है ।,100.0,100.0
लेकिन पहल करे तोॏ कौन ।,लेकिन पहल करे तो कौन ।,लेकिन पहल करे तो कौन ।,100.0,100.0
प्रशांतओ दिल्ली से कॉलेज रया था ।,प्रशांत दिल्ली से कॉलेज आया था ।,प्रशांत दिल्ली से कॉलेज रोया था ।,50.0,50.0
उन्होंने प्रळांत के साथ अभद्र व्यवहार शुॉू ऋर दिया ।,उन्होंने प्रशांत के साथ अभद्र व्यवहार शुरू कर दिया ।,उन्होंने प्रांत के साथ अभद्र व्यवहार शुरू पर दिया ।,33.33333333333333,100.0
प्रशाऔत ने इसका विरोध किया तो सन्होंने उसझ जमकर पीटा ।,प्रशांत ने इसका विरोध किया तो उन्होंने उसे जमकर पीटा ।,प्रशांत ने इसका विरोध किया तो उन्होंने उसे जमकर पीटा ।,100.0,100.0
इसके चलते उसका चॎेहरा व गला सूज गया ऍ,इसके चलते उसका चेहरा व गला सूज गया ।,इसके चलते उसका चेहरा व गला सूज गया व,50.0,50.0
बाद में प्रश॒ांत के ङिता अजीत टोकस को यह जानकारी दली गई ।,बाद में प्रशांत के पिता अजीत टोकस को यह जानकारी दी गई ।,बाद में प्रशांत के पिता अजीत टोकस को यह जानकारी दलील गई ।,66.66666666666666,66.66666666666666
प्रशांत ृो लेकर अजीत ट॑ोकस सिविल अस्पताल गए ।,प्रशांत को लेकर अजीत टोकस सिविल अस्पताल गए ।,प्रशांत को लेकर अजीत फोकस सिविल अस्पताल गए ।,50.0,50.0
प्रशांत १८ ॗअगस्त तक अस्पताल में रहा औ,प्रशांत १८ अगस्त तक अस्पताल में रहा ।,प्रशांत १८ अगस्त तक अस्पताल में रहा और,50.0,50.0
उन्होंने कहा कऺ इस घटॖना की शिकायत उन्ऋहें मिली है ।,उन्होंने कहा कि इस घटना की शिकायत उन्हें मिली है ।,उन्होंने कहा के इस घटना की शिकायत उन्हें मिली है ।,66.66666666666666,66.66666666666666
समिॊति की रिपोर्ट के आधार पर ऒही कार्रवाई होगी ।ॅ,समिति की रिपोर्ट के आधार पर ही कार्रवाई होगी ।,समिति की रिपोर्ट के आधार पर ही कार्रवाई होगी ।,100.0,100.0
सोनिया उस समॅय लोकसभा ऺें विपक्ष की नेॣता थीं ।,सोनिया उस समय लोकसभा में विपक्ष की नेता थीं ।,सोनिया उस समय लोकसभा में विपक्ष की नेता थीं ।,100.0,100.0
वह ़सत्तारूढ़ संप्रग सरकार कीॣ अध्यक्ष हैं ।,वह सत्तारूढ़ संप्रग सरकार की अध्यक्ष हैं ।,वह सत्तारूढ़ संप्रग सरकार की अध्यक्ष हैं ।,100.0,100.0
उन्हें न्यौता दनिया गया है ।,उन्हें न्यौता दिया गया है ।,उन्हें न्यौता दुनिया गया है ।,0.0,100.0
इसमें जीत राजग की हो॑ी ।,इसमें जीत राजग की होगी ।,इसमें जीत राजग की होगी ।,100.0,100.0
इसलिए उन्हें मॠ. डिपेंडेबल की संज्ञा दी जा वकती है ।॒,इसलिए उन्हें मि. डिपेंडेबल की संज्ञा दी जा सकती है ।,इसलिए उन्हें में डिपेंडेबल की संज्ञा दी जा सकती है ।,66.66666666666666,66.66666666666666
जिसे वोटिंग के बाद पारित कए दिया गयॡा ।,जिसे वोटिंग के बाद पारित कर दिया गया ।,जिसे वोटिंग के बाद पारित एक दिया गया ।,50.0,50.0
